PC1,PC2,Filename,Title,Type,Display title,Author,PubPlace,Genre,Date,Period
-0.015820152,-0.026112506,sidney.shepherds.txt,sidney.shepherds,text,"Dialogue Between Two Shepherds In Praise of Astrea, 1602","Sidney, Mary, Countess of Pembroke",London England,verse,1602,1600-1620
-0.011550229,-0.016852123,grymeston.miscellanea.txt,grymeston.miscellanea,text,"Miscellanea, Meditations, Memoratives, 1604","Grymeston, Elizabeth (Bernye)",London England,non-fiction,1604,1600-1620
0.015209532,0.008423605,russell.reconcil.txt,russell.reconcil,text,"Introductory Material to A Way of Reconciliation, 1605","Russell, Elizabeth",London England,non-fiction,1605,1600-1620
-0.022782541,-0.004316537,melvill.godliedream.txt,melvill.godliedream,text,"A Godly Dream, 1606","Melvill, Elizabeth",Edinburgh Scotland,verse,1606,1600-1620
-0.022040543,-0.017950968,lanyer.salvedeus.txt,lanyer.salvedeus,text,"Salve Deus Rex Judaeorum, 1611","Lanyer, Aemilia (Bassano)",London England,verse,1611,1600-1620
-0.03605296,-0.017509693,cary-e.mariam.txt,cary-e.mariam,text,"The Tragedie of Mariam, 1613","Cary, Elizabeth (Tanfield), Viscountess Falkland",London England,drama,1613,1600-1620
-0.005939472,0.00708993,leigh.mother.txt,leigh.mother,text,"The Mother's Blessing, 1616","Leigh, Dorothy (Kemp)",London England,non-fiction,1616,1600-1620
-0.016305305,0.000605048,munda.worming.txt,munda.worming,text,"The Worming of a Mad Dog, 1617","Munda, Constantia",London England,non-fiction,1617,1600-1620
-0.001937398,-0.008616718,sowernam.haman.txt,sowernam.haman,text,"Esther Hath Hang'd Haman, 1617","Sowernam, Ester",London England,non-fiction,1617,1600-1620
-0.005258932,-0.012234425,speght.movzell.txt,speght.movzell,text,"A Muzzle for Melastomus, 1617","Speght, Rachel",London England,non-fiction,1617,1600-1620
0.014485583,0.00160843,unknown.witchcrafts.txt,unknown.witchcrafts,text,"The Wonderful Discoverie of the Witchcrafts of Margaret and Phillip Flower, 1619",[unknown],London England,non-fiction,1619,1600-1620
-0.022112023,-0.007131774,unknown.swetnam.txt,unknown.swetnam,text,"Swetnam, the Woman-Hater, Arraigned by Women, 1620",[unknown],London England,drama,1620,1600-1620
-0.009158497,-0.016858117,speght.mortmemo.txt,speght.mortmemo,text,"Mortalities Memorandum, 1621","Speght, Rachel",London England,verse,1621,1621-1640
-0.017176166,-0.010281747,wroth.urania.txt,wroth.urania,text,"The Countess of Montgomery's Urania, 1621","Wroth, Lady Mary (Sidney)",London England,fiction,1621,1621-1640
-0.015725897,-0.003687206,clinton.nurserie.txt,clinton.nurserie,text,"The Countess of Lincoln's Nursery, 1622","Clinton, Elizabeth",Oxford England,non-fiction,1622,1621-1640
-0.016919507,-0.015633855,jocelin.legacie.txt,jocelin.legacie,text,"The Mother's Legacy to her Unborn Child, 1624","Jocelin, Elizabeth",London England,non-fiction,1624,1621-1640
0.041423192,-0.00612679,davies.warning.txt,davies.warning,text,"A Warning to the Dragon, 1625","Davies, Lady Eleanor",[s.l.],non-fiction,1625,1621-1640
