PC1,PC2,Filename,Full title,Display title,Author,Genre,Publication date,,,,,,,,,,,,,,,,,,
-0.012603623,-0.000619025,1587.southwell.epistle-comfort.eebo.txt,"An epistle of comfort to the reuerend priestes, & to the honorable, worshipful, & other of the laye sort restrayned in durance for the Catholicke fayth",An Epistle of Comfort,"Southwell, Robert",Royal Society text,1587,,,,,,,,,,,,,,,,,,
-0.025620926,-0.001910442,1591.southwell.marie-magdalens.eebo.txt,Marie Magdalens funerall teares,Mary Magdalen's Funeral Tears,"Southwell, Robert",Royal Society text,1591,,,,,,,,,,,,,,,,,,
-0.029873212,-0.010859613,1595.southwell.moeoniae.eebo.txt,Moeoniae,Moeoniae,"Southwell, Robert",Royal Society text,1595,,,,,,,,,,,,,,,,,,
-0.043918618,-0.023229652,1595.southwell.saint-peters.eebo.txt,Saint Peters complaynt,Saint Peter's Complaint,"Southwell, Robert",Royal Society text,1595,,,,,,,,,,,,,,,,,,
-0.031587768,-0.011042246,1595.southwell.triumphs-death.eebo.txt,"The triumphs ouer death: or A consolatorie epistle, for afflicted minds, in the affects of dying friends. First written for the consolation of one: but nowe published for the generall good of all, by R.S. the authour of S. Peters complaint, and M�oni� his other hymnes",The Triumphs Over Death,"Southwell, Robert",Royal Society text,1595,,,,,,,,,,,,,,,,,,
-0.026225807,-0.011088217,1600.southwell.humble-supplication.eebo.txt,An humble supplication to her Maiestie,An Humble Supplication to Her Majesty,"Southwell, Robert",Royal Society text,1600,,,,,,,,,,,,,,,,,,
-0.021229717,0.008789098,1622.southwell.short-rule.eebo.txt,A short rule of good life To direct the deuout Christian in a regular and orderly course.,A Short Rule of Good Life,"Southwell, Robert",Royal Society text,1622,,,,,,,,,,,,,,,,,,
-0.020655428,0.013947201,1632.southwell.dutifull-advice.eebo.txt,"The dutiful advice of a loving sonne, to his aged father",The Dutiful Advice of a Loving Son,"Southwell, Robert",Royal Society text,1632,,,,,,,,,,,,,,,,,,
-0.013121889,0.01108254,1634.herbert.into-afrique.eebo.txt,"A relation of some yeares trauaile begunne anno 1626. Into Afrique and the greater Asia, especially the territories of the Persian monarchie: and some parts of the orientall Indies, and iles adiacent. Of their religion, language, habit, discent, ceremonies, and other matters concerning them. Together with the proceedings and death of the three late ambassadours: Sir D.C. Sir R.S. and the Persian Nogdi-Beg: as also the two great monarchs, the King of Persia, and the Great Mogol.",A Relation of Some Years Travel,"Herbert, Thomas",Royal Society text,1634,,,,,,,,,,,,,,,,,,
0.000744744,0.010603767,1638.digby.religion-choice.eebo.txt,A conference with a lady about choice of religion,A Conference with a Lady about Choice of Religion,"Digby, Kenelm",Royal Society text,1638,,,,,,,,,,,,,,,,,,
0.008419279,-0.019164844,1640.wilkins.new-world.eebo.txt,A Discourse concerning A NEW world & Another Planet In 2 Bookes.,A Discourse Concerning a New World,"Wilkins, John",Royal Society text,1640,,,,,,,,,,,,,,,,,,
